csv_name,PH,Brix,L*,a*,b*,C*,ho
80_7_7.csv,4,16,73.34,-5.64,56.24,76.33,92.74
80_8_7.csv,4.02,16,73.37,-5.21,54.79,76.97,93.98
80_9_7.csv,3.98,16,73.97,-5.31,58.49,78.67,93.87
80_10_7.csv,4.01,16.1,74.09,-6.17,55.75,76,94.66
80_11_7.csv,3.98,16,73.96,-5.17,58.16,78.33,93.78
80_12_7.csv,4.07,16.2,74.66,-5.49,56.4,76.6,94.11
80_13_7.csv,4.02,16.5,75.86,-5.65,57.22,77.42,94.19
80_14_7.csv,4.03,16.1,73.3,-4.24,56.74,76.77,91.67
80_15_7.csv,4.07,16.2,73.3,-3.62,58.76,78.84,92.63
80_16_7.csv,4.11,16.2,72.65,-4.27,58.74,78.86,93.1
80_17_7.csv,4.07,16.3,73.95,-5.5,57.58,77.77,94.06
80_18_7.csv,4.1,16.5,74.08,-5.08,57.58,77.75,93.75
80_19_7.csv,4.06,16.5,74.49,-4.15,60.78,80.89,92.94
80_20_7.csv,4.09,16.6,76.03,-5.51,54.07,74.27,94.26
80_0_8.csv,4.03,16,73.5,-8.42,62.56,82.99,95.82
80_1_8.csv,3.99,17,73.02,-12.26,63.22,83.73,96.35
80_2_8.csv,4.02,17.2,73,-12.56,63.28,83.82,96.55
80_3_8.csv,3.98,17.2,73.84,-11.85,61.95,82.43,96.16
80_4_8.csv,4.02,17.2,73.94,-9.23,60.61,80.85,94.42
80_5_8.csv,4.1,17.2,74.17,-8.13,60,80.23,94.38
80_6_8.csv,4.04,17.5,75.21,-6.56,54.45,75.73,94.97
80_7_8.csv,4.05,16,74.27,-5.17,54.52,74.59,92.44
80_8_8.csv,4.06,16,74.09,-4.84,55.73,78.87,93.43
80_9_8.csv,3.98,16,75.22,-5.5,55.11,80.29,93.78
80_10_8.csv,4,16,73.03,-6.12,56.6,76.84,94.56
80_11_8.csv,4.01,16,71.92,-4.2,57.23,77.34,93.11
80_12_8.csv,4.05,16,72.49,-4.12,56.52,76.63,93.08
80_13_8.csv,4.09,16.2,73.84,-4.4,55.18,75.31,93.35
80_14_8.csv,4.06,16,73.47,-3.79,54.21,71.33,93.55
80_15_8.csv,4.1,16.1,72.75,-3.91,52.83,72.94,93.08
80_16_8.csv,4.11,16.1,74.57,-5.17,53.39,73.57,94.03
80_17_8.csv,4.08,16.1,74.88,-5.78,52.7,72.93,94.55
80_18_8.csv,4.12,16.3,74.83,-4.8,55.64,75.79,93.63
80_19_8.csv,4.14,16.5,75.23,-4.81,55.08,71.24,93.87
80_20_8.csv,4.19,16.7,77.4,-4.57,56.06,76.2,93.44
80_0_9.csv,4.02,16.1,75.49,-12.03,61.25,86.72,95.98
80_1_9.csv,4.07,17.1,73.12,-12.11,62.9,83.4,96.27
80_2_9.csv,4.04,17.1,73.39,-12.98,63.06,83.54,96.27
80_3_9.csv,4.02,17.2,74.26,-12.59,61.93,83.37,95.91
80_4_9.csv,4.03,17.1,74.39,-9.45,61.08,81.33,94.55
80_5_9.csv,4.02,17.3,73.53,-9.19,59.22,79.46,94.47
80_6_9.csv,4.07,17.3,74.15,-9.13,55.85,82.08,94.28
80_7_9.csv,4.05,16,73.07,-6.45,55.11,81.14,91.73
80_8_9.csv,4.06,16,74.35,-5.73,56.44,82.64,93.97
80_9_9.csv,4.11,16,74.3,-5.18,56.48,82.64,93.59
80_10_9.csv,4.01,16.1,74.6,-6.37,54.08,79.34,94.61
80_11_9.csv,4.03,16,74.51,-4.84,55.83,79.98,93.47
80_12_9.csv,4.05,16,74.83,-5.01,54.76,80.91,93.55
80_13_9.csv,4.11,16.1,75.37,-5.03,55.49,80.65,93.58
80_14_9.csv,4.06,16.1,73.53,-4.42,55.67,77.71,91.93
80_15_9.csv,4.1,16.1,73,-3.67,56.89,76.98,92.73
80_16_9.csv,4.1,16.2,73.15,-4.86,57.55,77.7,93.59
80_17_9.csv,4.09,16.2,74.72,-6.11,56.46,74.71,94.69
80_18_9.csv,4.16,16.2,74.06,-5.22,58.05,74.24,94.03
80_19_9.csv,4.02,16.2,74.87,-4.63,58.22,73.37,93.62
80_20_9.csv,4.08,16.6,75.57,-5.83,58.45,73.68,94.54
90_0_1.csv,3.89,17.8,72.3,-13.16,65.14,66.45,101.42
90_1_1.csv,3.84,18,72.24,-13.06,63.35,66.64,101.3
90_2_1.csv,3.88,16.5,72.99,-11.97,62.57,66.65,100.35
90_3_1.csv,3.89,17,72.97,-9.76,60.08,60.87,99.23
90_4_1.csv,3.84,17,73.09,-8.16,59.86,60.42,97.76
90_5_1.csv,3.84,17,72.59,-6.42,55.25,58.61,96.29
90_6_1.csv,3.91,17,72.43,-5.13,51.79,52.04,95.65
90_0_2.csv,3.8,17,70.67,-13.98,64.01,65.51,102.32
90_1_2.csv,3.83,17,70.84,-13.55,63.29,64.72,102.08
90_2_2.csv,3.74,17,71.76,-12.04,62.31,65.43,100.61
90_3_2.csv,3.84,17,72.87,-9.69,58.58,59.37,99.39
90_4_2.csv,3.84,17,73.3,-6.25,56.14,56.49,96.35
90_5_2.csv,3.88,16.5,72.82,-6.53,54.79,55.17,96.8
90_6_2.csv,3.88,17.5,74.7,-4.57,56.21,56.4,94.65
90_0_3.csv,3.84,17,71.27,-13.89,63.31,64.82,102.37
90_1_3.csv,3.84,17,71.05,-13.77,64,65.46,102.14
90_2_3.csv,3.73,17,70.8,-11.73,64.72,65.77,100.27
90_3_3.csv,3.8,17,71.95,-10.23,60.04,62.88,99.37
90_4_3.csv,3.94,17,72.72,-7.04,57.18,57.62,97.02
90_5_3.csv,3.87,17,72.61,-5.81,58.32,58.61,95.69
90_6_3.csv,3.82,17.5,73.4,-5.8,55.5,55.81,95.96
90_0_4.csv,3.86,16,72.44,-13.81,65.09,66.54,101.97
90_1_4.csv,3.79,16,69.9,-13.14,64.38,65.7,101.54
90_2_4.csv,3.79,16,70.15,-12.13,63.71,64.85,100.78
90_3_4.csv,3.84,16,71.01,-9.19,58.34,59.06,98.95
90_4_4.csv,3.83,16.8,71.07,-7.75,57.37,57.89,97.69
90_5_4.csv,3.82,16.8,71.33,-5.63,56.68,56.96,95.67
90_6_4.csv,3.81,16,72.29,-5.91,53.22,53.55,96.33
90_7_4.csv,3.79,16,72.37,-6.21,51.9,52.27,96.82
90_8_4.csv,3.79,16,70.8,-6.26,54.59,54.95,96.55
90_9_4.csv,3.78,16,70.77,-5.2,55.17,55.42,95.39
90_10_4.csv,3.8,16,71.12,-5.43,53.11,53.39,95.84
90_11_4.csv,3.81,16,70.88,-4.86,52.22,52.44,95.3
90_12_4.csv,3.85,16,70.42,-5.14,52.75,53,95.57
90_13_4.csv,3.85,16,72.23,-5.21,53.46,53.82,94.63
90_14_4.csv,3.85,16,71.77,-5.91,53.07,53.4,94.35
90_15_4.csv,3.84,16,71.83,-5.49,52.82,53.08,93.51
90_16_4.csv,3.85,16,71.63,-5.53,52.72,53.01,93.99
90_17_4.csv,3.85,16,71.18,-5.64,55.01,52.3,93.86
90_18_4.csv,3.84,16,70.62,-5.04,52.39,52.63,93.49
90_19_4.csv,3.83,16,71.65,-5.69,53.76,54.06,94.04
90_20_4.csv,3.83,16,72.67,-5.83,54.95,55.26,94.05
90_0_5.csv,3.84,16,71.11,-12.65,62.9,64.16,101.37
90_1_5.csv,3.84,16,69.54,-13.66,62.17,63.65,102.39
90_2_5.csv,3.84,16,70.14,-11.61,63.18,64.24,100.41
90_3_5.csv,3.84,16,72.01,-8.08,57.89,58.45,97.95
90_4_5.csv,3.86,16.8,70.24,-6.89,55.78,56.2,97.04
90_5_5.csv,3.85,16.8,70.31,-4.95,54.57,54.79,95.18
90_6_5.csv,3.85,16,71.52,-5.59,53.9,54.19,95.92
90_7_5.csv,3.83,16,71.7,-4.96,50.59,50.83,95.6
90_8_5.csv,3.82,16,70.04,-4.72,54.02,52.23,95.18
90_9_5.csv,3.84,16,70.69,-4.88,54.18,54.4,95.15
90_10_5.csv,3.84,16,70.53,-4,53.2,53.35,94.3
90_11_5.csv,3.82,16,70.74,-5.4,55.46,55.72,95.56
90_12_5.csv,3.82,16,71.81,-4.41,51.25,51.44,94.91
90_13_5.csv,3.87,16,71.54,-4.91,53.12,53.18,94.64
90_14_5.csv,3.86,16,69.58,-4.38,51.76,51.8,94.21
90_15_5.csv,3.85,16,69.95,-4.84,53.21,53.28,93.57
90_16_5.csv,3.86,16,70.06,-5.8,53.45,53.45,94.43
