property_name,rank,group,feature_selection,fs_param,model,dataset_tag,best_param_json
a*,90,selected,spa,8,pcr,a_/SELECTED_20260508_114620,"{""n_components"": 4}"
a*,91,selected,spa,8,svr,a_/SELECTED_20260508_114620,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,92,selected,spa,8,rf,a_/SELECTED_20260508_114620,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,93,selected,spa,8,gpr,a_/SELECTED_20260508_114620,"{""kernel"": ""squaredexponential""}"
a*,94,selected,spa,8,knn,a_/SELECTED_20260508_114620,"{""metric"": ""euclidean"", ""n_neighbors"": 3, ""weights"": ""distance""}"
a*,95,selected,spa,8,cnn,a_/SELECTED_20260508_114620,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,96,selected,spa,8,xgb,a_/SELECTED_20260508_114620,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,97,selected,spa,12,pls,a_/SELECTED_20260508_121012,"{""cv_fold"": 10, ""n_components"": 9}"
a*,98,selected,spa,12,pcr,a_/SELECTED_20260508_121012,"{""n_components"": 4}"
a*,99,selected,spa,12,svr,a_/SELECTED_20260508_121012,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,100,selected,spa,12,rf,a_/SELECTED_20260508_121012,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,101,selected,spa,12,gpr,a_/SELECTED_20260508_121012,"{""kernel"": ""squaredexponential""}"
a*,102,selected,spa,12,knn,a_/SELECTED_20260508_121012,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,103,selected,spa,12,cnn,a_/SELECTED_20260508_121012,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,104,selected,spa,12,xgb,a_/SELECTED_20260508_121012,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,105,selected,spa,16,pls,a_/SELECTED_20260508_123533,"{""cv_fold"": 10, ""n_components"": 14}"
a*,106,selected,spa,16,pcr,a_/SELECTED_20260508_123533,"{""n_components"": 12}"
a*,107,selected,spa,16,svr,a_/SELECTED_20260508_123533,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,108,selected,spa,16,rf,a_/SELECTED_20260508_123533,"{""min_samples_leaf"": 5, ""n_estimators"": 100}"
a*,109,selected,spa,16,gpr,a_/SELECTED_20260508_123533,"{""kernel"": ""squaredexponential""}"
a*,110,selected,spa,16,knn,a_/SELECTED_20260508_123533,"{""metric"": ""euclidean"", ""n_neighbors"": 3, ""weights"": ""distance""}"
a*,111,selected,spa,16,cnn,a_/SELECTED_20260508_123533,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,112,selected,spa,16,xgb,a_/SELECTED_20260508_123533,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,113,selected,spa,20,pls,a_/SELECTED_20260508_130302,"{""cv_fold"": 10, ""n_components"": 6}"
a*,114,selected,spa,20,pcr,a_/SELECTED_20260508_130302,"{""n_components"": 13}"
a*,115,selected,spa,20,svr,a_/SELECTED_20260508_130302,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""linear""}"
a*,116,selected,spa,20,rf,a_/SELECTED_20260508_130302,"{""min_samples_leaf"": 1, ""n_estimators"": 200}"
a*,117,selected,spa,20,gpr,a_/SELECTED_20260508_130302,"{""kernel"": ""squaredexponential""}"
a*,118,selected,spa,20,knn,a_/SELECTED_20260508_130302,"{""metric"": ""euclidean"", ""n_neighbors"": 5, ""weights"": ""distance""}"
a*,119,selected,spa,20,cnn,a_/SELECTED_20260508_130302,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,120,selected,spa,20,xgb,a_/SELECTED_20260508_130302,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
